species,7  Li ,23  Na,24  Mg ,27  Al,51  V  [ He ] ,52  Cr  [ He ] ,55  Mn  [ He ] ,56  Fe  [ He ] ,57  Fe  [ He ] ,59  Co  [ He ] ,60  Ni  [ He ] ,63  Cu  [ He ] ,66  Zn  [ He ] ,75  As  [ He ] ,88  Sr  [ He ] ,111  Cd  [ He ] ,137  Ba  [ He ] ,139  La  [ He ] ,146  Nd  [ He ] ,147  Sm  [ He ] ,206  [Pb]  [ He ] ,207  [Pb]  [ He ] ,208  Pb  [ He ] ,238  U  [ He ] 
Sorites,,,143127.1311,,,,222.4593363,,,,,20.4550414,,2.128724765,1755.915154,0.1634941639,,5.086246929,5.277273275,0.7328473719,39.12278775,34.10822888,35.83423167,0.1638682829
Sorites,,,139483.7604,,,,204.2174646,,,,,,,,1729.266084,0.08744640934,,4.31286378,4.237996113,0.7638833109,55.20054119,47.79640423,50.45661587,0.1493332905
Sorites,,,139118.9453,,,,229.7610661,,,,,38.7862384,,,1815.199119,0.1840598927,,5.038826538,4.810671845,0.9063922566,78.37722046,67.06486664,70.86834568,0.1782535409
Sorites,,,137065.5296,,,,149.9525021,,,,,,,,1704.719223,0.3477020345,,3.881698741,4.038208675,0.9384087576,86.51527006,74.62219284,78.9291031,0.1549810341
Sorites,,,142309.5166,,,,235.9786999,,,,,60.28861943,,,1750.237746,0.1891359655,,4.405965642,3.994720978,0.7775263658,104.9655676,89.95036504,94.98976052,0.1425603632
Sorites,,,141012.6342,,,,248.1302931,,,,,,,,1798.255115,0.3281802846,,4.735806796,5.230084048,0.6039232418,154.7483118,135.3009506,141.5703735,0.134935602
Sorites,,,146781.2473,,,,188.6186404,,,,,,,,1934.854314,0.4057430213,,6.063886465,5.124151576,1.165136038,36.37198835,32.38919574,33.8781233,0.2150198828
Sorites,,,136549.8518,,,,158.896143,,,,,,,,1741.192004,,,5.379312586,4.618425063,0.7316688974,29.27749522,25.80477581,27.05584612,0.1843292207
Sorites,,,135596.8469,,,,190.5157875,,,,243.2027483,,,,1677.290779,,,5.966426635,5.078571633,0.9732216004,25.21716827,21.88809809,23.13963154,0.1894082036
Sorites,,,143133.0658,,,,201.4710205,,,,,,,,1713.405475,0.2480100266,,5.113580394,4.156329572,0.8029113922,39.73232442,35.10043976,36.36372409,0.1701483178
Sorites,,,145460.8442,,,,217.1176434,,,,,,4063.203152,,1826.058969,0.2787295612,,4.759139213,4.687653631,0.6832715777,48.36783846,41.7401311,44.21876214,0.1691573534
Sorites,,,134818.4789,,,,222.2665044,,,,,,,,1681.962941,0.2140840688,,4.170260864,3.708938702,0.601683664,74.37622715,63.93395281,68.06794129,0.1607516988
Sorites,,,149617.6459,,,,229.9255815,,,,,,,,1873.836995,0.271869172,,5.013223407,4.870534706,0.7322846529,139.9239898,121.2738081,128.1160368,0.170828099
